CIGAR,0,6/19/2021
REBUT,1,6/20/2021
SISSY,2,6/21/2021
HUMPH,3,6/22/2021
AWAKE,4,6/23/2021
BLUSH,5,6/24/2021
FOCAL,6,6/25/2021
EVADE,7,6/26/2021
NAVAL,8,6/27/2021
SERVE,9,6/28/2021
HEATH,10,6/29/2021
DWARF,11,6/30/2021
MODEL,12,7/1/2021
KARMA,13,7/2/2021
STINK,14,7/3/2021
GRADE,15,7/4/2021
QUIET,16,7/5/2021
BENCH,17,7/6/2021
ABATE,18,7/7/2021
FEIGN,19,7/8/2021
MAJOR,20,7/9/2021
DEATH,21,7/10/2021
FRESH,22,7/11/2021
CRUST,23,7/12/2021
STOOL,24,7/13/2021
COLON,25,7/14/2021
ABASE,26,7/15/2021
MARRY,27,7/16/2021
REACT,28,7/17/2021
BATTY,29,7/18/2021
PRIDE,30,7/19/2021
FLOSS,31,7/20/2021
HELIX,32,7/21/2021
CROAK,33,7/22/2021
STAFF,34,7/23/2021
PAPER,35,7/24/2021
UNFED,36,7/25/2021
WHELP,37,7/26/2021
TRAWL,38,7/27/2021
OUTDO,39,7/28/2021
ADOBE,40,7/29/2021
CRAZY,41,7/30/2021
SOWER,42,7/31/2021
REPAY,43,8/1/2021
DIGIT,44,8/2/2021
CRATE,45,8/3/2021
CLUCK,46,8/4/2021
SPIKE,47,8/5/2021
MIMIC,48,8/6/2021
POUND,49,8/7/2021
MAXIM,50,8/8/2021
LINEN,51,8/9/2021
UNMET,52,8/10/2021
FLESH,53,8/11/2021
BOOBY,54,8/12/2021
FORTH,55,8/13/2021
FIRST,56,8/14/2021
STAND,57,8/15/2021
BELLY,58,8/16/2021
IVORY,59,8/17/2021
SEEDY,60,8/18/2021
PRINT,61,8/19/2021
YEARN,62,8/20/2021
DRAIN,63,8/21/2021
BRIBE,64,8/22/2021
STOUT,65,8/23/2021
PANEL,66,8/24/2021
CRASS,67,8/25/2021
FLUME,68,8/26/2021
OFFAL,69,8/27/2021
AGREE,70,8/28/2021
ERROR,71,8/29/2021
SWIRL,72,8/30/2021
ARGUE,73,8/31/2021
BLEED,74,9/1/2021
DELTA,75,9/2/2021
FLICK,76,9/3/2021
TOTEM,77,9/4/2021
WOOER,78,9/5/2021
FRONT,79,9/6/2021
SHRUB,80,9/7/2021
PARRY,81,9/8/2021
BIOME,82,9/9/2021
LAPEL,83,9/10/2021
START,84,9/11/2021
GREET,85,9/12/2021
GONER,86,9/13/2021
GOLEM,87,9/14/2021
LUSTY,88,9/15/2021
LOOPY,89,9/16/2021
ROUND,90,9/17/2021
AUDIT,91,9/18/2021
LYING,92,9/19/2021
GAMMA,93,9/20/2021
LABOR,94,9/21/2021
